Species ID,Botanical Name,Common Name,Family,Native Status,Life Cycle,Sun,Soil Moisture,Urban Toughness,reviewed_field_count,gap_count,score_readiness,Primary References,candidate_views,provider_data,supplier_count,supplier_statuses,mowability_score,provider_review_status,poc_caveat
BCNPPD-0072,Canada mint,Mentha canadensis,,Pending review,,,,,0,5,not_ready,SRC-0054,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0073,Carex lenticularis var lipocarpa,Kellogg's Sedge,,Pending review,,,,,0,5,not_ready,SRC-0055,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0074,Carex lyngbyei,Lyngbye's Sedge,,Pending review,,,,,0,5,not_ready,SRC-0056,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0020,Carex obnupta,Slough Sedge,Cyperaceae,Native in coastal BC,Perennial graminoid,Sun to shade,Moist to wet,3,4,5,not_ready,SRC-0023;SRC-0004,Rain Garden;Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0022,Chamaenerion angustifolium,fireweed,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0026,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0075,Chamerion angustifolium ssp angustifolium,Fireweed,,Pending review,,,,,0,5,not_ready,SRC-0057,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0076,Chocolate lily,Fritillaria affinis,,Pending review,,,,,0,5,not_ready,SRC-0058,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0077,Clarkia amoena,Farewell-to-Spring,,Pending review,,,,,0,5,not_ready,SRC-0059,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0078,Claytonia perfoliata,Miner's Lettuce,,Pending review,,,,,0,5,not_ready,SRC-0060,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0023,Claytonia sibirica,Siberian miner's-lettuce,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0027;SRC-0061,,yes,1,available,,pending_review,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0016,Clinopodium douglasii,Yerba Buena,Lamiaceae,Native in coastal BC,Perennial,Part shade to shade,Mesic,4,4,5,not_ready,SRC-0019;SRC-0004,Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0079,Clustered tarweed,Madia glomerata,,Pending review,,,,,0,5,not_ready,SRC-0062,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0080,Coastal mugwort,Artemisia suksdorfii,,Pending review,,,,,0,5,not_ready,SRC-0063,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0024,Collinsia grandiflora,large-flowered blue-eyed Mary,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0028,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0015,Collinsia parviflora,Small-flowered Blue-eyed Mary,Plantaginaceae,Native in BC,Annual,Sun to part shade,Mesic spring; summer dry,4,4,5,not_ready,SRC-0018;SRC-0004,Boulevard;Dry Sun;Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0081,Columbia brome,Bromus vulgaris,,Pending review,,,,,0,5,not_ready,SRC-0064,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0082,Common camas,Camassia quamash ssp. maxima,,Pending review,,,,,0,5,not_ready,SRC-0007,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0025,Cornus sericea,Red Osier Dogwood,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0083,Cow parsnip,Heracleum maximum,,Pending review,,,,,0,5,not_ready,SRC-0065,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0084,Crinkle-awned fescue,Festuca subuliflora,,Pending review,,,,,0,5,not_ready,SRC-0066,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0085,Dagger-leaf rush,Juncus ensifolius,,Pending review,,,,,0,5,not_ready,SRC-0067,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0086,Death camas,Toxicoscordion venenosum,,Pending review,,,,,0,5,not_ready,SRC-0068,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0087,Delphinium menziesii,Menzies' Larkspur,,Pending review,,,,,0,5,not_ready,SRC-0069,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0010,Dicentra formosa,Pacific Bleeding Heart,Papaveraceae,Native in coastal BC,Perennial,Part shade to shade,Mesic to moist,4,4,5,not_ready,SRC-0013;SRC-0004,Rain Garden;Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0088,Entire-leaved gumweed,Grindelia stricta,,Pending review,,,,,0,5,not_ready,SRC-0070,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0026,Erigeron philadelphicus,Philadelphia Fleabane,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0089,Eriocoma lemmonii,Lemmon's Needle Grass,,Pending review,,,,,0,5,not_ready,SRC-0071,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0012,Eriophyllum lanatum,Oregon Sunshine,Asteraceae,Native in SW BC/Garry oak systems,Perennial subshrub/forb,Full sun,Dry,5,4,5,not_ready,SRC-0015;SRC-0004,Boulevard;Dry Sun,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0090,Festuca roemeri,Roemer's Fescue,,Pending review,,,,,0,5,not_ready,SRC-0072,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0054,Festuca rubra,red fescue,,Pending review,,,,,0,5,not_ready,SRC-0036,,yes,0,,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0091,Few-flowered shootingstar,Primula pauciflora var. pauciflora,,Pending review,,,,,0,5,not_ready,SRC-0073,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0092,Field chickweed,Cerastium arvense,,Pending review,,,,,0,5,not_ready,SRC-0074,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0027,Fragaria chiloensis,Coastal Strawberry,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0050,Fragaria vesca,wood strawberry,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0032,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0002,Fragaria virginiana,Wild Strawberry,Rosaceae,Native in BC,Perennial,Full sun to part shade,Dry to mesic,5,4,5,not_ready,SRC-0003;SRC-0004,Boulevard;Dry Sun;Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0028,Gaultheria shallon,Salal,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0029,Geum macrophyllum,Large-leaved Avens,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0093,Golden sedge,Carex aurea,,Pending review,,,,,0,5,not_ready,SRC-0075,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0094,Graceful cinquefoil,Potentilla gracilis var. gracilis,,Pending review,,,,,0,5,not_ready,SRC-0076,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0095,Great camas,Camassia leichtlinii ssp. suksdorfii,,Pending review,,,,,0,5,not_ready,SRC-0077,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0096,Green-sheathed sedge,Carex feta,,Pending review,,,,,0,5,not_ready,SRC-0078,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0030,Grindelia stricta,Oregon gumweed,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0029,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0097,Hairy gumweed,Grindelia hirsutula,,Pending review,,,,,0,5,not_ready,SRC-0079,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0098,Hare sedge,Carex ovalis,,Pending review,,,,,0,5,not_ready,SRC-0080,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0099,Harvest brodiaea,Brodiaea coronaria,,Pending review,,,,,0,5,not_ready,SRC-0081,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0031,Holodiscus discolor,Ocean Spray,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0100,Hypericum scouleri,Western St. John's-wort,,Pending review,,,,,0,5,not_ready,SRC-0082,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0101,Inflated sedge,Carex exsiccata,,Pending review,,,,,0,5,not_ready,SRC-0083,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0102,Jointed rush,Juncus articulatus,,Pending review,,,,,0,5,not_ready,SRC-0084,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0103,Juncus bolanderi,Bolander's Rush,,Pending review,,,,,0,5,not_ready,SRC-0085,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0104,Koeleria macrantha,Junegrass,,Pending review,,,,,0,5,not_ready,SRC-0086,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0105,Large-flowered agoseris,Agoseris grandiflora,,Pending review,,,,,0,5,not_ready,SRC-0087,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0106,Large-flowered collomia,Collomia grandiflora,,Pending review,,,,,0,5,not_ready,SRC-0088,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0107,Large-leaved avens,Geum macrophyllum,,Pending review,,,,,0,5,not_ready,SRC-0089,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0108,Large-leaved lupine,Lupinus polyphyllus ssp. pallidipes,,Pending review,,,,,0,5,not_ready,SRC-0090,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0032,Lathyrus japonicus,Beach Pea,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0013,Lomatium nudicaule,Bare-stem Desert-parsley,Apiaceae,Native in coastal dry meadow/bluff systems,Perennial,Full sun,Dry to mesic winter/spring,3,4,5,not_ready,SRC-0016;SRC-0004,Dry Sun,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0033,Lonicera involucrata,Twinberry,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0034,Lupinus bicolor,Lindley's Lupine,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0018,Mahonia nervosa,Dull Oregon-grape,Berberidaceae,Native in coastal BC,Evergreen subshrub,Part shade to shade,Dry to mesic,4,4,5,not_ready,SRC-0021;SRC-0004,Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0019,Maianthemum dilatatum,False Lily-of-the-Valley,Asparagaceae,Native in coastal BC,Perennial,Shade to part shade,Moist,3,4,5,not_ready,SRC-0022;SRC-0004,Rain Garden;Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0035,Malus fusca,Pacific Crab Apple,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0053,Matricaria discoidea,pineapple weed,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0035,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0109,Meadow barley,Hordeum brachyantherum,,Pending review,,,,,0,5,not_ready,SRC-0091,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0110,Melica harfordii,Harford's Melic,,Pending review,,,,,0,5,not_ready,SRC-0092,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0111,Mountain sneezeweed,Helenium autumnale,,Pending review,,,,,0,5,not_ready,SRC-0093,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0112,Mountain sweet-cicely,Osmorhiza berteroi,,Pending review,,,,,0,5,not_ready,SRC-0094,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0113,Navarretia squarrosa,Skunkweed,,Pending review,,,,,0,5,not_ready,SRC-0095,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0114,Nodding beggarticks,Bidens cernua,,Pending review,,,,,0,5,not_ready,SRC-0096,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0115,Nodding onion,Allium cernuum,,Pending review,,,,,0,5,not_ready,SRC-0097,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0036,Oemleria cerasiformis,Osoberry,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0116,Olsynium douglasii,Satinflower,,Pending review,,,,,0,5,not_ready,SRC-0098,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0117,One-sided sedge,Carex unilateralis,,Pending review,,,,,0,5,not_ready,SRC-0099,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0118,Oval-leaved mitrewort,Pectiantia ovalis,,Pending review,,,,,0,5,not_ready,SRC-0100,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0119,Pacific sanicle,Sanicula crassicaulis,,Pending review,,,,,0,5,not_ready,SRC-0101,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0120,Pacific water-parsley,Oenanthe sarmentosa,,Pending review,,,,,0,5,not_ready,SRC-0102,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0121,Pacific woodrush,Luzula comosa var. comosa,,Pending review,,,,,0,5,not_ready,SRC-0103,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0122,Perideridia gairdneri,Yampah,,Pending review,,,,,0,5,not_ready,SRC-0104,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0037,Physocarpus capitatus,Pacific Ninebark,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0123,Plagiobothrys scouleri,Scouler's Popcornflower,,Pending review,,,,,0,5,not_ready,SRC-0105,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0014,Plectritis congesta,Sea Blush,Caprifoliaceae,Native in coastal BC,Annual,Full sun,Vernal moist to summer dry,4,4,5,not_ready,SRC-0017;SRC-0004,Boulevard;Rain Garden;Dry Sun,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0124,Poa secunda,Sandberg's Bluegrass,,Pending review,,,,,0,5,not_ready,SRC-0106,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0125,Poverty oatgrass,Danthonia spicata,,Pending review,,,,,0,5,not_ready,SRC-0107,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0126,Prairie woodrush,Luzula subsessilis,,Pending review,,,,,0,5,not_ready,SRC-0108,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0127,Prunella vulgaris ssp lanceolata,Self-heal,,Pending review,,,,,0,5,not_ready,SRC-0109,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0003,Prunella vulgaris var. lanceolata,Lanceleaf Self-heal,Lamiaceae,Native variety in BC,Perennial,Sun to part shade,Mesic,5,4,5,not_ready,SRC-0005;SRC-0004,Boulevard;Shade,no,0,,,,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0052,Pteridium aquilinum,bracken fern,,Pending review,,,,,0,5,not_ready,SRC-0025;SRC-0034,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0128,Red columbine,Aquilegia formosa,,Pending review,,,,,0,5,not_ready,SRC-0110,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0129,Red maids,Calandrinia menziesii,,Pending review,,,,,0,5,not_ready,SRC-0111,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0038,Ribes sanguineum,Red-flowering Currant,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0039,Rosa nutkana,Nootka Rose,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0040,Rubus parviflorus,Thimbleberry,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0041,Rubus spectabilis,Salmonberry,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0042,Salix discolor,Pussy Willow,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0043,Sanicula crassicaulis,Pacific Sanicle,,Pending review,,,,,0,5,not_ready,SRC-0025,,no,0,,,,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0130,Sea blush,Plectritis congesta,,Pending review,,,,,0,5,not_ready,SRC-0112,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0131,Sea thrift,Armeria maritima,,Pending review,,,,,0,5,not_ready,SRC-0113,,yes,1,unavailable,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0132,Seacoast angelica,Angelica lucida,,Pending review,,,,,0,5,not_ready,SRC-0114,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0133,Seaside plantain,Plantago maritima,,Pending review,,,,,0,5,not_ready,SRC-0115,,yes,1,available,,pending_review,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
