Species ID,Legacy ID,Botanical Name,Common Name,Family,Native Status,Plant Type,Life Cycle,Sun,Soil Moisture,Urban Toughness,Evidence Level,Primary References,record_status,evidence_status,poc_caveat
BCNPPD-0004,CDF-0004,Camassia quamash,Common Camas,Asparagaceae,Native in SW BC,,Perennial geophyte,Full sun,Winter wet / summer dry to mesic,4,B,SRC-0006;SRC-0007,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0071,CDF-0071,Canada goldenrod,Solidago lepida,,Pending review,,,,,,Pending review,SRC-0053,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0072,CDF-0072,Canada mint,Mentha canadensis,,Pending review,,,,,,Pending review,SRC-0054,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0073,CDF-0073,Carex lenticularis var lipocarpa,Kellogg's Sedge,,Pending review,,,,,,Pending review,SRC-0055,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0074,CDF-0074,Carex lyngbyei,Lyngbye's Sedge,,Pending review,,,,,,Pending review,SRC-0056,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0020,CDF-0020,Carex obnupta,Slough Sedge,Cyperaceae,Native in coastal BC,,Perennial graminoid,Sun to shade,Moist to wet,3,C,SRC-0023;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0022,CDF-0022,Chamaenerion angustifolium,fireweed,,Pending review,,,,,,Pending review,SRC-0025;SRC-0026,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0075,CDF-0075,Chamerion angustifolium ssp angustifolium,Fireweed,,Pending review,,,,,,Pending review,SRC-0057,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0076,CDF-0076,Chocolate lily,Fritillaria affinis,,Pending review,,,,,,Pending review,SRC-0058,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0077,CDF-0077,Clarkia amoena,Farewell-to-Spring,,Pending review,,,,,,Pending review,SRC-0059,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0078,CDF-0078,Claytonia perfoliata,Miner's Lettuce,,Pending review,,,,,,Pending review,SRC-0060,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0023,CDF-0023,Claytonia sibirica,Siberian miner's-lettuce,,Pending review,,,,,,Pending review,SRC-0025;SRC-0027;SRC-0061,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0016,CDF-0016,Clinopodium douglasii,Yerba Buena,Lamiaceae,Native in coastal BC,,Perennial,Part shade to shade,Mesic,4,D,SRC-0019;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0079,CDF-0079,Clustered tarweed,Madia glomerata,,Pending review,,,,,,Pending review,SRC-0062,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0080,CDF-0080,Coastal mugwort,Artemisia suksdorfii,,Pending review,,,,,,Pending review,SRC-0063,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0024,CDF-0024,Collinsia grandiflora,large-flowered blue-eyed Mary,,Pending review,,,,,,Pending review,SRC-0025;SRC-0028,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0015,CDF-0015,Collinsia parviflora,Small-flowered Blue-eyed Mary,Plantaginaceae,Native in BC,,Annual,Sun to part shade,Mesic spring; summer dry,4,C,SRC-0018;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0081,CDF-0081,Columbia brome,Bromus vulgaris,,Pending review,,,,,,Pending review,SRC-0064,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0082,CDF-0082,Common camas,Camassia quamash ssp. maxima,,Pending review,,,,,,Pending review,SRC-0007,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0025,CDF-0025,Cornus sericea,Red Osier Dogwood,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0083,CDF-0083,Cow parsnip,Heracleum maximum,,Pending review,,,,,,Pending review,SRC-0065,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0084,CDF-0084,Crinkle-awned fescue,Festuca subuliflora,,Pending review,,,,,,Pending review,SRC-0066,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0085,CDF-0085,Dagger-leaf rush,Juncus ensifolius,,Pending review,,,,,,Pending review,SRC-0067,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0086,CDF-0086,Death camas,Toxicoscordion venenosum,,Pending review,,,,,,Pending review,SRC-0068,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0087,CDF-0087,Delphinium menziesii,Menzies' Larkspur,,Pending review,,,,,,Pending review,SRC-0069,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0010,CDF-0010,Dicentra formosa,Pacific Bleeding Heart,Papaveraceae,Native in coastal BC,,Perennial,Part shade to shade,Mesic to moist,4,C,SRC-0013;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0088,CDF-0088,Entire-leaved gumweed,Grindelia stricta,,Pending review,,,,,,Pending review,SRC-0070,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0026,CDF-0026,Erigeron philadelphicus,Philadelphia Fleabane,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0089,CDF-0089,Eriocoma lemmonii,Lemmon's Needle Grass,,Pending review,,,,,,Pending review,SRC-0071,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0012,CDF-0012,Eriophyllum lanatum,Oregon Sunshine,Asteraceae,Native in SW BC/Garry oak systems,,Perennial subshrub/forb,Full sun,Dry,5,C,SRC-0015;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0090,CDF-0090,Festuca roemeri,Roemer's Fescue,,Pending review,,,,,,Pending review,SRC-0072,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0054,CDF-0054,Festuca rubra,red fescue,,Pending review,,,,,,Pending review,SRC-0036,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0091,CDF-0091,Few-flowered shootingstar,Primula pauciflora var. pauciflora,,Pending review,,,,,,Pending review,SRC-0073,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0092,CDF-0092,Field chickweed,Cerastium arvense,,Pending review,,,,,,Pending review,SRC-0074,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0027,CDF-0027,Fragaria chiloensis,Coastal Strawberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0050,CDF-0050,Fragaria vesca,wood strawberry,,Pending review,,,,,,Pending review,SRC-0025;SRC-0032,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0002,CDF-0002,Fragaria virginiana,Wild Strawberry,Rosaceae,Native in BC,,Perennial,Full sun to part shade,Dry to mesic,5,C,SRC-0003;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0028,CDF-0028,Gaultheria shallon,Salal,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0029,CDF-0029,Geum macrophyllum,Large-leaved Avens,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0093,CDF-0093,Golden sedge,Carex aurea,,Pending review,,,,,,Pending review,SRC-0075,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0094,CDF-0094,Graceful cinquefoil,Potentilla gracilis var. gracilis,,Pending review,,,,,,Pending review,SRC-0076,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0095,CDF-0095,Great camas,Camassia leichtlinii ssp. suksdorfii,,Pending review,,,,,,Pending review,SRC-0077,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0096,CDF-0096,Green-sheathed sedge,Carex feta,,Pending review,,,,,,Pending review,SRC-0078,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0030,CDF-0030,Grindelia stricta,Oregon gumweed,,Pending review,,,,,,Pending review,SRC-0025;SRC-0029,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0097,CDF-0097,Hairy gumweed,Grindelia hirsutula,,Pending review,,,,,,Pending review,SRC-0079,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0098,CDF-0098,Hare sedge,Carex ovalis,,Pending review,,,,,,Pending review,SRC-0080,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0099,CDF-0099,Harvest brodiaea,Brodiaea coronaria,,Pending review,,,,,,Pending review,SRC-0081,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0031,CDF-0031,Holodiscus discolor,Ocean Spray,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0100,CDF-0100,Hypericum scouleri,Western St. John's-wort,,Pending review,,,,,,Pending review,SRC-0082,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0101,CDF-0101,Inflated sedge,Carex exsiccata,,Pending review,,,,,,Pending review,SRC-0083,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0102,CDF-0102,Jointed rush,Juncus articulatus,,Pending review,,,,,,Pending review,SRC-0084,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0103,CDF-0103,Juncus bolanderi,Bolander's Rush,,Pending review,,,,,,Pending review,SRC-0085,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0104,CDF-0104,Koeleria macrantha,Junegrass,,Pending review,,,,,,Pending review,SRC-0086,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0105,CDF-0105,Large-flowered agoseris,Agoseris grandiflora,,Pending review,,,,,,Pending review,SRC-0087,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0106,CDF-0106,Large-flowered collomia,Collomia grandiflora,,Pending review,,,,,,Pending review,SRC-0088,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0107,CDF-0107,Large-leaved avens,Geum macrophyllum,,Pending review,,,,,,Pending review,SRC-0089,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0108,CDF-0108,Large-leaved lupine,Lupinus polyphyllus ssp. pallidipes,,Pending review,,,,,,Pending review,SRC-0090,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0032,CDF-0032,Lathyrus japonicus,Beach Pea,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0013,CDF-0013,Lomatium nudicaule,Bare-stem Desert-parsley,Apiaceae,Native in coastal dry meadow/bluff systems,,Perennial,Full sun,Dry to mesic winter/spring,3,C,SRC-0016;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0033,CDF-0033,Lonicera involucrata,Twinberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0034,CDF-0034,Lupinus bicolor,Lindley's Lupine,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0018,CDF-0018,Mahonia nervosa,Dull Oregon-grape,Berberidaceae,Native in coastal BC,,Evergreen subshrub,Part shade to shade,Dry to mesic,4,C,SRC-0021;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0019,CDF-0019,Maianthemum dilatatum,False Lily-of-the-Valley,Asparagaceae,Native in coastal BC,,Perennial,Shade to part shade,Moist,3,D,SRC-0022;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0035,CDF-0035,Malus fusca,Pacific Crab Apple,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0053,CDF-0053,Matricaria discoidea,pineapple weed,,Pending review,,,,,,Pending review,SRC-0025;SRC-0035,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0109,CDF-0109,Meadow barley,Hordeum brachyantherum,,Pending review,,,,,,Pending review,SRC-0091,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0110,CDF-0110,Melica harfordii,Harford's Melic,,Pending review,,,,,,Pending review,SRC-0092,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0111,CDF-0111,Mountain sneezeweed,Helenium autumnale,,Pending review,,,,,,Pending review,SRC-0093,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0112,CDF-0112,Mountain sweet-cicely,Osmorhiza berteroi,,Pending review,,,,,,Pending review,SRC-0094,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0113,CDF-0113,Navarretia squarrosa,Skunkweed,,Pending review,,,,,,Pending review,SRC-0095,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0114,CDF-0114,Nodding beggarticks,Bidens cernua,,Pending review,,,,,,Pending review,SRC-0096,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0115,CDF-0115,Nodding onion,Allium cernuum,,Pending review,,,,,,Pending review,SRC-0097,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0036,CDF-0036,Oemleria cerasiformis,Osoberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0116,CDF-0116,Olsynium douglasii,Satinflower,,Pending review,,,,,,Pending review,SRC-0098,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0117,CDF-0117,One-sided sedge,Carex unilateralis,,Pending review,,,,,,Pending review,SRC-0099,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0118,CDF-0118,Oval-leaved mitrewort,Pectiantia ovalis,,Pending review,,,,,,Pending review,SRC-0100,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0119,CDF-0119,Pacific sanicle,Sanicula crassicaulis,,Pending review,,,,,,Pending review,SRC-0101,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0120,CDF-0120,Pacific water-parsley,Oenanthe sarmentosa,,Pending review,,,,,,Pending review,SRC-0102,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0121,CDF-0121,Pacific woodrush,Luzula comosa var. comosa,,Pending review,,,,,,Pending review,SRC-0103,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0122,CDF-0122,Perideridia gairdneri,Yampah,,Pending review,,,,,,Pending review,SRC-0104,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0037,CDF-0037,Physocarpus capitatus,Pacific Ninebark,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0123,CDF-0123,Plagiobothrys scouleri,Scouler's Popcornflower,,Pending review,,,,,,Pending review,SRC-0105,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0014,CDF-0014,Plectritis congesta,Sea Blush,Caprifoliaceae,Native in coastal BC,,Annual,Full sun,Vernal moist to summer dry,4,C,SRC-0017;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0124,CDF-0124,Poa secunda,Sandberg's Bluegrass,,Pending review,,,,,,Pending review,SRC-0106,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0125,CDF-0125,Poverty oatgrass,Danthonia spicata,,Pending review,,,,,,Pending review,SRC-0107,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0126,CDF-0126,Prairie woodrush,Luzula subsessilis,,Pending review,,,,,,Pending review,SRC-0108,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0127,CDF-0127,Prunella vulgaris ssp lanceolata,Self-heal,,Pending review,,,,,,Pending review,SRC-0109,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0003,CDF-0003,Prunella vulgaris var. lanceolata,Lanceleaf Self-heal,Lamiaceae,Native variety in BC,,Perennial,Sun to part shade,Mesic,5,C,SRC-0005;SRC-0004,poc_candidate,candidate_attributed,"PoC candidate row generated from the legacy workbook; use for inspection and prioritization, not final planting decisions."
BCNPPD-0052,CDF-0052,Pteridium aquilinum,bracken fern,,Pending review,,,,,,Pending review,SRC-0025;SRC-0034,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0128,CDF-0128,Red columbine,Aquilegia formosa,,Pending review,,,,,,Pending review,SRC-0110,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0129,CDF-0129,Red maids,Calandrinia menziesii,,Pending review,,,,,,Pending review,SRC-0111,poc_candidate,candidate_provider_approved,"Provider-approved observation remains candidate PoC data pending source, taxonomy, and ecological review."
BCNPPD-0038,CDF-0038,Ribes sanguineum,Red-flowering Currant,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0039,CDF-0039,Rosa nutkana,Nootka Rose,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
BCNPPD-0040,CDF-0040,Rubus parviflorus,Thimbleberry,,Pending review,,,,,,Pending review,SRC-0025,poc_candidate,candidate_unreviewed,"User-submitted expansion candidate; identity, native range, traits, sources, pollinator relationships, and planting suitability require review before use."
